bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,tuning_deviation_cents,strength
st_nicholas_church,st_nicholas_church_strike119.wav,st_nicholas_church_strike119.wav,64.453125,140.625,187.5,210.9375,281.25,major,498.0449991346125,30.0,749.0035494748122,1084.081157921106,1145.8198051948052,2.862810106307734e-06,98.04499913461251,0.955
st_nicholas_church,st_nicholas_church_strike028.wav,st_nicholas_church_strike028.wav,,140.625,187.5,187.5,287.109375,major,498.0449991346125,30.0,713.6692083721713,1082.6371821620926,1137.5405844155844,1.7552509234519675e-05,98.04499913461251,0.952
st_nicholas_church,st_nicholas_church_strike126.wav,st_nicholas_church_strike126.wav,,140.625,175.78125,222.65625,275.390625,major,386.3137138648348,30.0,782.797997490656,1146.286363641712,1190.625,2.539220986363944e-05,13.686286135165176,0.936
st_nicholas_church,st_nicholas_church_strike088.wav,st_nicholas_church_strike088.wav,64.453125,140.625,175.78125,199.21875,287.109375,major,386.3137138648348,,704.9309147097107,1119.066820566315,1151.4813311688313,1.0547012607275974e-05,13.686286135165176,0.935
st_nicholas_church,st_nicholas_church_strike132.wav,st_nicholas_church_strike132.wav,76.171875,140.625,164.0625,216.796875,281.25,minor,266.87090560373764,30.0,687.7368851495772,1135.6346954023024,1121.8952922077922,1.5497505955863744e-05,33.12909439626236,0.913
st_nicholas_church,st_nicholas_church_strike031.wav,st_nicholas_church_strike031.wav,64.453125,140.625,175.78125,193.359375,287.109375,major,386.3137138648348,,701.4308318480818,1115.7528379291286,1154.403409090909,2.3570448320242576e-05,13.686286135165176,0.91
st_nicholas_church,st_nicholas_church_strike180.wav,st_nicholas_church_strike180.wav,76.171875,140.625,175.78125,205.078125,281.25,major,386.3137138648348,30.0,682.087650101412,1110.076057659927,1124.5738636363635,2.619664701342117e-05,13.686286135165176,0.897
st_nicholas_church,st_nicholas_church_strike213.wav,st_nicholas_church_strike213.wav,,140.625,175.78125,193.359375,287.109375,major,386.3137138648348,,712.1533850601147,1158.0686158536491,1151.2378246753246,1.4848830687697046e-05,13.686286135165176,0.896
st_nicholas_church,st_nicholas_church_strike080.wav,st_nicholas_church_strike080.wav,76.171875,140.625,175.78125,216.796875,281.25,major,386.3137138648348,30.0,681.6251728854074,1119.0564619203749,1109.780844155844,1.0694809134292882e-05,13.686286135165176,0.885
st_nicholas_church,st_nicholas_church_strike265.wav,st_nicholas_church_strike265.wav,76.171875,140.625,169.921875,205.078125,287.109375,minor,327.622193287699,,778.815406405453,1140.2817888261536,1193.7297077922078,2.722239514696412e-06,27.62219328769902,0.885
st_nicholas_church,st_nicholas_church_strike189.wav,st_nicholas_church_strike189.wav,64.453125,140.625,175.78125,199.21875,287.109375,major,386.3137138648348,,705.3868481862701,1145.1736814941987,1137.053571428571,3.845807896141196e-06,13.686286135165176,0.883
st_nicholas_church,st_nicholas_church_strike140.wav,st_nicholas_church_strike140.wav,64.453125,140.625,175.78125,199.21875,287.109375,major,386.3137138648348,30.0,700.0905219142736,1117.9060054891556,1136.0795454545455,2.8270683287701104e-06,13.686286135165176,0.883
st_stephan,st_stephan_strike001.wav,st_stephan_strike001.wav,181.640625,328.125,380.859375,451.171875,591.796875,minor,258.01546916502065,30.0,1364.942518100717,2047.7355871501304,2323.90873015873,6.685388507321477e-05,41.98453083497935,0.547
st_stephan,st_stephan_strike002.wav,st_stephan_strike002.wav,164.0625,310.546875,333.984375,410.15625,568.359375,minor,125.96347152185096,3.5763595971316904,1315.3868222836018,1926.970956039755,2223.823051948052,4.159608215559274e-05,174.03652847814902,0.52
st_stephan,st_stephan_strike003.wav,st_stephan_strike003.wav,,328.125,380.859375,451.171875,,minor,258.01546916502065,,1360.4879162128316,1926.99319264447,2326.7654220779223,6.866158946650103e-05,41.98453083497935,0.526
st_stephan,st_stephan_strike004.wav,st_stephan_strike004.wav,,333.984375,380.859375,462.890625,632.8125,minor,227.37335863645532,,1345.114000556028,1796.8996188968435,2309.598214285714,7.870825356803834e-05,72.62664136354468,0.517
st_stephan,st_stephan_strike005.wav,st_stephan_strike005.wav,,328.125,380.859375,445.3125,673.828125,minor,258.01546916502065,30.0,1385.2887646908755,1833.7092950743483,2410.714285714286,9.216163016390055e-05,41.98453083497935,1.0
st_stephan,st_stephan_strike006.wav,st_stephan_strike006.wav,,310.546875,339.84375,457.03125,562.5,minor,156.07264867724749,,1307.2631669218297,1645.7785142580028,2295.292207792208,2.904901521105785e-05,143.92735132275251,0.537
st_stephan,st_stephan_strike007.wav,st_stephan_strike007.wav,181.640625,328.125,380.859375,445.3125,585.9375,minor,258.01546916502065,30.0,1292.4841968741457,1654.8019965250571,2283.116883116883,4.160994285484776e-05,41.98453083497935,0.682
st_stephan,st_stephan_strike008.wav,st_stephan_strike008.wav,,333.984375,380.859375,556.640625,738.28125,minor,227.37335863645532,18.220626182044,1215.267783325848,1568.5369732502131,2083.0762987012986,7.913874287623912e-05,72.62664136354468,0.528
st_stephan,st_stephan_strike009.wav,st_stephan_strike009.wav,181.640625,345.703125,451.171875,562.5,744.140625,major,460.9721895996722,30.0,1211.861530139541,1581.9785725452878,2102.556818181818,2.7396472432883456e-05,60.97218959967222,0.619
st_stephan,st_stephan_strike010.wav,st_stephan_strike010.wav,,328.125,410.15625,462.890625,585.9375,major,386.3137138648348,30.0,1193.319895314448,1553.897960851901,2037.5339673913045,3.765011570067145e-05,13.686286135165176,0.86
st_stephan,st_stephan_strike011.wav,st_stephan_strike011.wav,146.484375,328.125,363.28125,462.890625,632.8125,minor,176.20966599512542,2.226479249202363,1207.9855815385902,1508.7921223536318,2145.111386138614,7.405343785649166e-05,123.79033400487458,0.772
st_stephan,st_stephan_strike012.wav,st_stephan_strike012.wav,,333.984375,380.859375,451.171875,732.421875,minor,227.37335863645532,2.226479249202363,1174.1364638181071,1420.6852042625774,2015.1909722222224,0.0001480421633459,72.62664136354468,0.685
st_stephan,st_stephan_2_strike013.flac,st_stephan_2_strike013.flac,,246.09375,275.390625,333.984375,462.890625,minor,194.7257146786525,,1139.4265820533142,1663.5470636615178,1929.9879807692307,3.546432708390057e-05,105.27428532134749,0.656
