bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness
st_nicholas_church,st_nicholas_church_strike211.wav,st_nicholas_church_strike211.wav,,140.625,169.921875,193.359375,287.109375,minor,327.622193287699,24.096658910749447,715.9031962390299,1154.7212818582398,1142.6542207792209,3.088100129389204e-05
st_nicholas_church,st_nicholas_church_strike212.wav,st_nicholas_church_strike212.wav,,140.625,187.5,187.5,281.25,major,498.0449991346125,,708.3340032376813,1167.81282547345,1151.4813311688313,1.2908859389426652e-05
st_nicholas_church,st_nicholas_church_strike213.wav,st_nicholas_church_strike213.wav,,140.625,175.78125,193.359375,287.109375,major,386.3137138648348,,712.1533850601147,1158.0686158536491,1151.2378246753246,1.4848830687697046e-05
st_nicholas_church,st_nicholas_church_strike214.wav,st_nicholas_church_strike214.wav,76.171875,140.625,187.5,187.5,287.109375,major,498.0449991346125,30.0,749.8143188021938,1160.2062498764867,1202.3133116883116,2.2950443963054568e-05
st_nicholas_church,st_nicholas_church_strike215.wav,st_nicholas_church_strike215.wav,76.171875,140.625,175.78125,234.375,281.25,major,386.3137138648348,6.618514402627349,729.7581695173765,1135.1765570080795,1151.4813311688313,7.70014594309032e-06
st_nicholas_church,st_nicholas_church_strike216.wav,st_nicholas_church_strike216.wav,164.0625,351.5625,421.875,480.46875,726.5625,minor,315.6412870005525,30.0,744.0529195978188,1153.8521274884538,1168.465909090909,1.881405114545487e-05
st_nicholas_church,st_nicholas_church_strike217.wav,st_nicholas_church_strike217.wav,181.640625,345.703125,427.734375,503.90625,714.84375,major,368.6178114218112,30.0,733.5177869139217,1171.027815299755,1149.1680194805194,2.2772515876567923e-05
st_nicholas_church,st_nicholas_church_strike218.wav,st_nicholas_church_strike218.wav,,140.625,,199.21875,287.109375,,,,752.0517229226648,1158.0031271933217,1197.3823051948052,2.8053636924596503e-05
st_nicholas_church,st_nicholas_church_strike219.wav,st_nicholas_church_strike219.wav,,140.625,181.640625,216.796875,281.25,major,443.08057159886295,21.34021831031552,730.0687935859379,1132.0574782329102,1159.9431818181818,2.4345585188711997e-05
st_nicholas_church,st_nicholas_church_strike220.wav,st_nicholas_church_strike220.wav,187.5,345.703125,421.875,498.046875,615.234375,minor,344.73834249656545,,707.2164326540175,1108.9357593470852,1124.81737012987,3.586046886994154e-06
st_nicholas_church,st_nicholas_church_strike221.wav,st_nicholas_church_strike221.wav,181.640625,351.5625,421.875,585.9375,726.5625,minor,315.6412870005525,30.0,717.3091807915723,1134.2514057570438,1129.87012987013,3.422191730351187e-05
st_nicholas_church,st_nicholas_church_strike222.wav,st_nicholas_church_strike222.wav,175.78125,351.5625,421.875,585.9375,732.421875,minor,315.6412870005525,30.0,748.6181887676643,1157.816929039877,1171.8141233766237,1.392457852489315e-05
st_nicholas_church,st_nicholas_church_strike223.wav,st_nicholas_church_strike223.wav,,140.625,181.640625,222.65625,281.25,major,443.08057159886295,30.0,787.3192746708288,1193.7277790561666,1233.299512987013,3.1749332265462726e-05
st_nicholas_church,st_nicholas_church_strike224.wav,st_nicholas_church_strike224.wav,64.453125,140.625,,199.21875,281.25,,,8.583881158509486,803.7895008970737,1202.7810423172357,1241.6396103896104,1.5322351828217506e-05
st_nicholas_church,st_nicholas_church_strike225.wav,st_nicholas_church_strike225.wav,76.171875,140.625,,,292.96875,,,,774.8401909909229,1182.3039306690002,1166.213474025974,4.3348341023374815e-06
st_nicholas_church,st_nicholas_church_strike226.wav,st_nicholas_church_strike226.wav,70.3125,140.625,175.78125,199.21875,281.25,major,386.3137138648348,,732.5423989283382,1170.8490018058387,1099.4926948051948,1.7707960068946704e-05
st_nicholas_church,st_nicholas_church_strike227.wav,st_nicholas_church_strike227.wav,76.171875,140.625,175.78125,205.078125,281.25,major,386.3137138648348,,729.2683473828448,1155.780378599978,1108.0762987012988,1.4584885320800822e-05
st_nicholas_church,st_nicholas_church_strike228.wav,st_nicholas_church_strike228.wav,,140.625,175.78125,210.9375,287.109375,major,386.3137138648348,30.0,739.7983010140202,1159.6871275234853,1132.5487012987012,1.6963662346825004e-05
st_nicholas_church,st_nicholas_church_strike229.wav,st_nicholas_church_strike229.wav,,140.625,,205.078125,287.109375,,,30.0,766.5762870780106,1147.4297343426426,1176.1972402597405,6.629009476455394e-06
st_nicholas_church,st_nicholas_church_strike230.wav,st_nicholas_church_strike230.wav,70.3125,140.625,,199.21875,281.25,,,30.0,768.4821370737553,1164.832510211055,1176.075487012987,4.27372606282006e-06
st_nicholas_church,st_nicholas_church_strike231.wav,st_nicholas_church_strike231.wav,,140.625,181.640625,,281.25,major,443.08057159886295,30.0,777.733637988286,1145.9386053675587,1204.4439935064936,2.249051794933621e-05
st_nicholas_church,st_nicholas_church_strike232.wav,st_nicholas_church_strike232.wav,,140.625,187.5,216.796875,281.25,major,498.0449991346125,30.0,749.0632538574135,1150.2193097760903,1176.37987012987,3.401166395633481e-06
st_nicholas_church,st_nicholas_church_strike233.wav,st_nicholas_church_strike233.wav,,351.5625,416.015625,585.9375,726.5625,minor,291.42782867539626,30.0,740.8525453175046,1132.4908286188145,1188.2508116883116,6.644898803642718e-06
st_nicholas_church,st_nicholas_church_strike234.wav,st_nicholas_church_strike234.wav,,140.625,187.5,187.5,287.109375,major,498.0449991346125,8.474624968210964,788.480910827168,1160.029384516713,1254.7889610389611,3.146777089568786e-05
st_nicholas_church,st_nicholas_church_strike235.wav,st_nicholas_church_strike235.wav,,140.625,169.921875,210.9375,281.25,minor,327.622193287699,,791.8056289135253,1140.3061032278206,1243.2832792207791,2.010205935221165e-05
st_nicholas_church,st_nicholas_church_strike236.wav,st_nicholas_church_strike236.wav,,140.625,187.5,187.5,287.109375,major,498.0449991346125,,795.7681774120238,1145.7287193977666,1225.2637987012988,8.19879824121017e-06
st_nicholas_church,st_nicholas_church_strike237.wav,st_nicholas_church_strike237.wav,,281.25,339.84375,421.875,591.796875,minor,327.622193287699,30.0,778.5775917923122,1146.7645672281176,1205.7224025974026,1.937403249030467e-05
st_nicholas_church,st_nicholas_church_strike238.wav,st_nicholas_church_strike238.wav,175.78125,351.5625,421.875,580.078125,726.5625,minor,315.6412870005525,,766.6134863831129,1129.714237947631,1175.1623376623377,1.851580236689188e-05
st_nicholas_church,st_nicholas_church_strike239.wav,st_nicholas_church_strike239.wav,281.25,591.796875,714.84375,878.90625,1201.171875,minor,327.0310257733098,30.0,779.6031122456243,1150.5567847237664,1203.2873376623377,1.8535176423029043e-05
st_nicholas_church,st_nicholas_church_strike240.wav,st_nicholas_church_strike240.wav,,351.5625,421.875,585.9375,726.5625,minor,315.6412870005525,1.509692602226386,744.2177965079102,1119.959805813021,1150.385551948052,1.4111135897110216e-05
st_nicholas_church,st_nicholas_church_strike241.wav,st_nicholas_church_strike241.wav,76.171875,140.625,,199.21875,287.109375,,,,731.3958340848959,1123.9861736855717,1164.3871753246754,1.7664673578110524e-05
st_nicholas_church,st_nicholas_church_strike242.wav,st_nicholas_church_strike242.wav,181.640625,351.5625,421.875,515.625,726.5625,minor,315.6412870005525,,731.4421753606645,1123.2408821064455,1172.4228896103896,4.218551475787535e-05
st_nicholas_church,st_nicholas_church_strike243.wav,st_nicholas_church_strike243.wav,193.359375,345.703125,421.875,544.921875,714.84375,minor,344.73834249656545,30.0,742.31221379328,1114.2537434641508,1185.267857142857,2.976437372126384e-06
st_nicholas_church,st_nicholas_church_strike244.wav,st_nicholas_church_strike244.wav,70.3125,140.625,175.78125,205.078125,281.25,major,386.3137138648348,30.0,748.3633922287937,1132.0175367882464,1187.6420454545455,1.5302966858143918e-05
st_nicholas_church,st_nicholas_church_strike245.wav,st_nicholas_church_strike245.wav,70.3125,140.625,187.5,187.5,287.109375,major,498.0449991346125,7.202587462936158,751.9494972346438,1132.6906726582963,1185.75487012987,2.359837162657641e-05
st_nicholas_church,st_nicholas_church_strike246.wav,st_nicholas_church_strike246.wav,76.171875,140.625,,216.796875,281.25,,,,747.7248320094457,1110.611133703688,1163.9001623376623,8.999057172331959e-06
st_nicholas_church,st_nicholas_church_strike247.wav,st_nicholas_church_strike247.wav,,345.703125,439.453125,527.34375,720.703125,major,415.4107693608474,0.560057571766189,731.2846961424788,1084.5396149892183,1127.739448051948,8.210775376937818e-06
st_nicholas_church,st_nicholas_church_strike248.wav,st_nicholas_church_strike248.wav,175.78125,351.5625,416.015625,580.078125,726.5625,minor,291.42782867539626,30.0,741.9054970530382,1082.804945514118,1149.4724025974026,1.1175471627211664e-05
st_nicholas_church,st_nicholas_church_strike249.wav,st_nicholas_church_strike249.wav,175.78125,345.703125,416.015625,480.46875,708.984375,minor,320.52488417140887,,726.3494326478675,1069.7183966675775,1129.3831168831168,3.5006742109544575e-05
st_nicholas_church,st_nicholas_church_strike250.wav,st_nicholas_church_strike250.wav,64.453125,140.625,187.5,210.9375,281.25,major,498.0449991346125,30.0,762.5503486118855,1101.20502082376,1182.1631493506493,3.719919914146885e-05
st_nicholas_church,st_nicholas_church_strike251.wav,st_nicholas_church_strike251.wav,,140.625,181.640625,199.21875,281.25,major,443.08057159886295,30.0,770.7522792187752,1105.3767661025115,1207.0616883116884,1.4458171790465713e-05
st_nicholas_church,st_nicholas_church_strike252.wav,st_nicholas_church_strike252.wav,70.3125,140.625,187.5,187.5,275.390625,major,498.0449991346125,30.0,795.7723069461525,1126.9329524447548,1221.7938311688313,1.488775887992233e-05
st_nicholas_church,st_nicholas_church_strike253.wav,st_nicholas_church_strike253.wav,281.25,580.078125,720.703125,867.1875,1207.03125,major,375.7894623115564,19.803101027174684,810.8032265370057,1136.2450775642978,1245.2313311688313,2.6986925149685703e-05
st_nicholas_church,st_nicholas_church_strike254.wav,st_nicholas_church_strike254.wav,,345.703125,416.015625,580.078125,720.703125,minor,320.52488417140887,0.8331676242823427,756.5186076413105,1115.51587649645,1161.2824675324675,1.3938302799942903e-05
st_nicholas_church,st_nicholas_church_strike255.wav,st_nicholas_church_strike255.wav,181.640625,345.703125,416.015625,474.609375,708.984375,minor,320.52488417140887,,778.2062635959765,1133.1405859869851,1176.5016233766237,1.0607009244267829e-05
st_nicholas_church,st_nicholas_church_strike256.wav,st_nicholas_church_strike256.wav,187.5,345.703125,416.015625,509.765625,714.84375,minor,320.52488417140887,30.0,766.068574296482,1134.0063314195252,1160.6737012987012,1.593173510627821e-05
st_nicholas_church,st_nicholas_church_strike257.wav,st_nicholas_church_strike257.wav,,140.625,175.78125,222.65625,275.390625,major,386.3137138648348,30.0,779.8721301355423,1137.206546003256,1188.4334415584417,1.8766946595860645e-05
st_nicholas_church,st_nicholas_church_strike258.wav,st_nicholas_church_strike258.wav,,140.625,175.78125,222.65625,281.25,major,386.3137138648348,30.0,822.0419503004673,1154.7204562103402,1253.510551948052,1.2689635696006007e-05
st_nicholas_church,st_nicholas_church_strike259.wav,st_nicholas_church_strike259.wav,76.171875,140.625,169.921875,210.9375,281.25,minor,327.622193287699,20.39913664468831,779.9219528492421,1132.0148743322864,1212.9667207792209,2.035280886047985e-05
st_nicholas_church,st_nicholas_church_strike260.wav,st_nicholas_church_strike260.wav,,140.625,175.78125,199.21875,275.390625,major,386.3137138648348,,730.8838768092492,1092.4927131498898,1150.5073051948052,4.031584012409439e-06
st_nicholas_church,st_nicholas_church_strike261.wav,st_nicholas_church_strike261.wav,140.625,281.25,339.84375,416.015625,580.078125,minor,327.622193287699,,673.0138272424836,1069.3796906013592,1079.890422077922,2.112140236931737e-06
st_nicholas_church,st_nicholas_church_strike262.wav,st_nicholas_church_strike262.wav,152.34375,345.703125,416.015625,580.078125,714.84375,minor,320.52488417140887,30.0,661.7237327425981,1087.0096560520583,1068.9935064935064,2.5515591914881952e-05
st_nicholas_church,st_nicholas_church_strike263.wav,st_nicholas_church_strike263.wav,,140.625,,193.359375,281.25,,,30.0,675.3172169718227,1106.2583574265905,1103.7540584415583,1.4160943464958107e-05
st_nicholas_church,st_nicholas_church_strike264.wav,st_nicholas_church_strike264.wav,76.171875,140.625,187.5,187.5,292.96875,major,498.0449991346125,10.307896094491095,761.7931301947845,1138.1936796596867,1195.0689935064936,1.670811980147846e-05
st_nicholas_church,st_nicholas_church_strike265.wav,st_nicholas_church_strike265.wav,76.171875,140.625,169.921875,205.078125,287.109375,minor,327.622193287699,,778.815406405453,1140.2817888261536,1193.7297077922078,2.722239514696412e-06
st_nicholas_church,st_nicholas_church_strike266.wav,st_nicholas_church_strike266.wav,76.171875,140.625,,199.21875,287.109375,,,30.0,814.3110904032849,1153.4067577865435,1238.9001623376623,1.6577396309003234e-05
st_nicholas_church,st_nicholas_church_strike267.wav,st_nicholas_church_strike267.wav,152.34375,345.703125,421.875,580.078125,726.5625,minor,344.73834249656545,30.0,764.6423945097679,1122.0640044113727,1203.5917207792209,2.760421193670481e-05
st_nicholas_church,st_nicholas_church_strike268.wav,st_nicholas_church_strike268.wav,,140.625,187.5,187.5,287.109375,major,498.0449991346125,30.0,720.7514362236501,1096.754895026226,1140.2800324675325,5.892046829103492e-06
st_nicholas_church,st_nicholas_church_strike269.wav,st_nicholas_church_strike269.wav,,140.625,187.5,187.5,287.109375,major,498.0449991346125,30.0,706.5410332844723,1113.7107609994086,1113.859577922078,1.0417279554530978e-05
st_nicholas_church,st_nicholas_church_strike270.wav,st_nicholas_church_strike270.wav,187.5,351.5625,421.875,585.9375,726.5625,minor,315.6412870005525,,716.7127354516185,1137.8591992000784,1156.534090909091,2.6752628400572576e-05
st_nicholas_church,st_nicholas_church_strike271.wav,st_nicholas_church_strike271.wav,,140.625,187.5,187.5,281.25,major,498.0449991346125,,705.9041582195882,1148.1103946585113,1145.1501623376623,6.549388672283385e-06
st_nicholas_church,st_nicholas_church_strike272.wav,st_nicholas_church_strike272.wav,64.453125,140.625,175.78125,199.21875,287.109375,major,386.3137138648348,,714.950147679731,1143.01931037358,1162.68262987013,1.4192409253155349e-05
